predicted_utilization,dynamic_tariff,baseline_tariff,revenue_dynamic,revenue_baseline,simulated_utilization
1.0,22.5,15.0,1252.500000075,835.0000000499999,0.85
1.0,22.5,15.0,354.375,236.25,0.85
1.0,22.5,15.0,1672.499999925,1114.99999995,0.85
0.0769230769230769,10.5,15.0,6.1249999965,8.749999995,0.09230769230769227
1.0,22.5,15.0,321.562500075,214.37500004999998,0.85
0.485709994135281,14.957039859246745,15.0,573.0872917401032,574.7333334,0.485709994135281
0.3327777777777774,11.286666666666658,15.0,19.75166666666665,26.25,0.3327777777777774
1.0,22.5,15.0,13.1249999925,8.749999995,0.85
1.0,22.5,15.0,446.24999992499994,297.49999994999996,0.85
1.0,22.5,15.0,137.8125,91.875,0.85
1.0,22.5,15.0,427.5,285.0,0.85
1.0,22.5,15.0,454.7375001,303.1583334,0.85
1.0,22.5,15.0,26.250000007500002,17.500000005,0.85
1.0,22.5,15.0,1526.249999925,1017.4999999500001,0.85
1.0,22.5,15.0,610.3125,406.875,0.85
0.3681666666666666,12.136,15.0,68.91562444309601,85.17916666500001,0.3681666666666666
1.0,22.5,15.0,483.1749999,322.1166666,0.85
